Date,Time,MQ2.SV hinten,MQ3.SV hinten,MQ9B.SV hinten,MQ135.SV hinten,MP503.SV hinten,HCOH.SV hinten
20240314,11:56:44,118,57,35,45,329,51
20240314,11:56:48,115,58,36,45,204,45
20240314,11:56:51,113,58,35,44,333,41
20240314,11:56:55,111,57,35,44,332,39
20240314,11:56:59,114,58,36,44,301,41
20240314,11:57:03,112,56,36,46,202,41
20240314,11:57:06,117,58,35,46,211,44
20240314,11:57:10,118,59,36,46,337,43
20240314,11:57:14,120,58,37,45,340,45
20240314,11:57:17,120,58,36,46,329,44
20240314,11:57:21,117,58,36,45,234,44
20240314,11:57:25,117,57,35,45,307,41
20240314,11:57:28,119,57,36,46,335,39
20240314,11:57:32,122,59,35,46,320,38
20240314,11:57:36,116,59,36,44,200,43
20240314,11:57:39,119,59,36,46,296,45
20240314,11:57:43,117,59,36,45,213,44
20240314,11:57:47,116,58,36,46,336,43
20240314,11:57:50,120,59,36,46,204,42
20240314,11:57:54,118,58,36,45,213,47
20240314,11:57:58,114,57,36,46,337,46
20240314,11:58:01,110,58,36,46,326,43
20240314,11:58:05,114,59,36,45,206,41
20240314,11:58:09,112,58,36,45,207,40
20240314,11:58:12,110,58,36,46,284,41
20240314,11:58:16,117,58,37,46,335,43
20240314,11:58:20,119,61,36,44,301,40
20240314,11:58:24,120,61,35,46,313,40
20240314,11:58:27,117,60,36,45,330,42
20240314,11:58:31,114,59,35,46,199,43
20240314,11:58:35,119,59,36,45,212,48
20240314,11:58:38,115,59,36,45,336,41
20240314,11:58:42,117,60,36,45,321,40
20240314,11:58:46,115,59,37,46,203,40
20240314,11:58:49,111,59,36,46,331,44
20240314,11:58:53,122,59,37,45,268,50
20240314,11:58:57,117,59,36,44,204,46
20240314,11:59:00,119,59,35,46,339,45
20240314,11:59:04,119,59,36,46,212,43
20240314,11:59:08,117,58,36,46,211,54
20240314,11:59:11,117,59,36,46,336,53
20240314,11:59:15,125,64,35,46,331,47
20240314,11:59:19,122,62,35,46,206,50
20240314,11:59:22,120,61,36,45,336,49
20240314,11:59:26,122,61,34,45,319,47
20240314,11:59:30,126,60,36,45,204,56
20240314,11:59:34,120,60,36,44,236,58
20240314,11:59:37,123,59,36,46,214,50
20240314,11:59:41,122,59,37,46,248,51
20240314,11:59:45,120,60,36,45,208,48
20240314,11:59:48,120,59,35,45,322,46
20240314,11:59:52,119,59,36,45,203,44
20240314,11:59:56,118,60,35,44,227,43
20240314,11:59:59,120,58,35,45,334,45
20240314,12:00:03,117,59,37,45,294,42
20240314,12:00:07,116,59,37,46,243,42
20240314,12:00:10,122,59,36,45,205,43
20240314,12:00:14,116,58,36,46,305,42
20240314,12:00:18,120,58,35,46,202,42
20240314,12:00:21,118,58,36,45,333,43
20240314,12:00:25,115,58,35,45,323,42
20240314,12:00:29,117,59,36,45,202,39
20240314,12:00:33,114,58,36,44,205,42
20240314,12:00:36,118,59,34,46,331,45
20240314,12:00:40,117,58,36,45,339,42
20240314,12:00:44,113,58,35,45,329,44
20240314,12:00:47,119,58,36,46,207,43
20240314,12:00:51,114,58,35,44,213,48
20240314,12:00:55,122,59,36,45,315,43
20240314,12:00:58,118,59,37,45,336,41
20240314,12:01:02,119,59,34,45,325,40
20240314,12:01:06,115,59,35,46,273,39
20240314,12:01:09,110,60,36,45,199,39
20240314,12:01:13,118,60,36,46,205,41
20240314,12:01:17,112,61,35,45,230,39
20240314,12:01:20,118,61,36,45,331,41
20240314,12:01:24,118,60,35,46,323,45
20240314,12:01:28,116,59,36,46,271,44
20240314,12:01:31,112,59,36,45,325,44
20240314,12:01:35,114,59,36,45,206,42
20240314,12:01:39,112,58,36,46,200,45
20240314,12:01:43,122,59,35,45,206,48
20240314,12:01:46,119,59,35,46,334,46
20240314,12:01:50,115,58,35,45,325,43
20240314,12:01:54,116,59,34,45,236,42
20240314,12:01:57,120,59,36,45,202,38
20240314,12:02:01,115,60,36,44,208,42
20240314,12:02:05,112,59,35,45,228,45
20240314,12:02:08,123,60,38,45,341,48
20240314,12:02:12,121,59,36,45,333,56
20240314,12:02:16,119,59,35,46,315,50
20240314,12:02:19,123,59,38,46,215,44
20240314,12:02:23,119,58,37,46,326,46
20240314,12:02:27,119,59,36,45,335,43
20240314,12:02:30,118,59,36,46,325,42
20240314,12:02:34,112,58,36,46,209,41
20240314,12:02:38,116,58,37,46,203,40
20240314,12:02:41,114,58,37,46,210,42
20240314,12:02:45,123,59,35,45,330,44
20240314,12:02:49,118,58,36,45,306,45
20240314,12:02:53,121,59,37,46,201,47
20240314,12:02:56,116,58,36,45,209,46
20240314,12:03:00,116,58,36,44,208,43
20240314,12:03:04,113,58,35,45,223,39
20240314,12:03:07,116,59,35,46,337,38
20240314,12:03:11,114,58,37,45,336,42
20240314,12:03:15,119,60,37,46,322,44
20240314,12:03:18,116,68,37,45,220,43
20240314,12:03:22,121,66,36,45,342,42
20240314,12:03:26,117,63,36,45,328,45
20240314,12:03:29,121,62,36,46,200,44
20240314,12:03:33,119,61,36,45,337,54
20240314,12:03:37,122,62,35,45,339,51
20240314,12:03:40,123,61,35,46,330,42
20240314,12:03:44,119,60,36,45,210,45
20240314,12:03:48,116,61,36,45,260,46
20240314,12:03:51,115,59,36,46,336,48
20240314,12:03:55,122,60,35,46,328,52
20240314,12:03:59,123,59,36,45,260,46
20240314,12:04:03,120,59,36,46,203,44
20240314,12:04:06,128,60,36,45,212,44
20240314,12:04:10,125,63,37,46,335,46
20240314,12:04:14,118,62,37,47,333,45
20240314,12:04:17,121,62,37,46,208,42
20240314,12:04:21,123,63,36,45,215,45
20240314,12:04:25,114,60,36,46,335,44
20240314,12:04:28,113,60,36,46,331,44
20240314,12:04:32,117,60,36,45,209,45
20240314,12:04:36,118,59,36,46,203,45
20240314,12:04:39,120,61,36,45,212,42
20240314,12:04:43,113,60,36,46,336,44
20240314,12:04:47,119,60,36,46,328,47
20240314,12:04:50,117,64,36,44,232,43
20240314,12:04:54,117,63,34,46,203,40
20240314,12:04:58,114,62,36,45,211,38
20240314,12:05:01,112,61,36,46,318,39
20240314,12:05:05,119,61,36,46,334,40
20240314,12:05:09,119,60,37,45,316,42
20240314,12:05:13,122,60,37,46,203,41
20240314,12:05:16,117,59,36,45,334,45
