# EMERSON X-STREAM XE	Data Logs
# Device Tag: 	XEA04203188876
# Location: 	MY Plant
# Company: 	MY Company
# Serial: 	XEA04203188876
# Firmware:	1.5.1
# --------	--------	--------
# Date	Time	Ch1:Conce:mg/Nm	Status	Ch1:Temp:°C	Status
1/24/2024	14:14:26	-0.5	G	66.6	G
1/24/2024	14:14:31	-0.4	G	66.6	G
1/24/2024	14:14:36	-0.3	G	66.6	G
1/24/2024	14:14:41	-0.3	G	66.6	G
1/24/2024	14:14:46	-0.4	G	66.6	G
1/24/2024	14:14:51	-0.7	G	66.6	G
1/24/2024	14:14:56	-1.0	G	66.6	G
1/24/2024	14:15:01	-1.4	G	66.6	G
1/24/2024	14:15:06	-1.6	G	66.6	G
1/24/2024	14:15:11	-1.4	G	66.6	G
1/24/2024	14:15:16	-1.2	G	66.6	G
1/24/2024	14:15:21	-1.0	G	66.6	G
1/24/2024	14:15:26	-0.9	G	66.6	G
1/24/2024	14:15:31	-1.1	G	66.6	G
1/24/2024	14:15:36	-1.2	G	66.6	G
1/24/2024	14:15:41	-1.4	G	66.6	G
1/24/2024	14:15:46	-1.2	G	66.6	G
1/24/2024	14:15:51	-0.9	G	66.6	G
1/24/2024	14:15:56	-0.7	G	66.6	G
1/24/2024	14:16:01	-0.5	G	66.6	G
1/24/2024	14:16:06	-0.2	G	66.6	G
1/24/2024	14:16:11	-0.2	G	66.6	G
1/24/2024	14:16:16	-0.2	G	66.6	G
1/24/2024	14:16:21	-0.2	G	66.6	G
1/24/2024	14:16:26	-0.1	G	66.6	G
1/24/2024	14:16:31	-0.1	G	66.6	G
1/24/2024	14:16:36	-0.1	G	66.6	G
1/24/2024	14:16:41	-0.2	G	66.6	G
1/24/2024	14:16:46	-0.2	G	66.6	G
1/24/2024	14:16:51	-0.1	G	66.6	G
1/24/2024	14:16:56	-0.1	G	66.6	G
1/24/2024	14:17:01	-0.1	G	66.5	G
1/24/2024	14:17:06	-0.2	G	66.5	G
1/24/2024	14:17:11	-0.3	G	66.5	G
1/24/2024	14:17:16	-0.5	G	66.5	G
1/24/2024	14:17:21	-0.6	G	66.5	G
1/24/2024	14:17:26	-0.7	G	66.5	G
1/24/2024	14:17:31	-0.8	G	66.5	G
1/24/2024	14:17:36	-0.7	G	66.5	G
1/24/2024	14:17:41	-0.7	G	66.5	G
1/24/2024	14:17:46	-0.7	G	66.5	G
1/24/2024	14:17:51	-0.6	G	66.5	G
1/24/2024	14:17:56	-0.6	G	66.5	G
1/24/2024	14:18:01	-0.7	G	66.5	G
1/24/2024	14:18:06	-0.6	G	66.5	G
1/24/2024	14:18:11	-0.6	G	66.5	G
1/24/2024	14:18:16	-0.6	G	66.5	G
1/24/2024	14:18:21	-0.6	G	66.5	G
1/24/2024	14:18:26	-0.6	G	66.5	G
1/24/2024	14:18:31	-0.3	G	66.5	G
1/24/2024	14:18:36	0.0	G	66.5	G
1/24/2024	14:18:41	0.1	G	66.5	G
1/24/2024	14:18:46	0.2	G	66.5	G
1/24/2024	14:18:51	0.0	G	66.5	G
1/24/2024	14:18:56	-0.2	G	66.5	G
1/24/2024	14:19:01	-0.4	G	66.5	G
1/24/2024	14:19:06	-0.6	G	66.5	G
1/24/2024	14:19:11	-0.7	G	66.5	G
1/24/2024	14:19:16	-0.8	G	66.5	G
1/24/2024	14:19:21	-0.9	G	66.5	G
1/24/2024	14:19:26	-0.9	G	66.5	G
