Date,Time,MQ2.SV Hinten,MQ3.SV Hinten,MQ9B.SV Hinten,MQ135.SV Hinten,MP503.SV Hinten,HCOH.SV Hinten
20240306,15:59:43.638,125.0,114.0,34.0,45.0,324.0,37.0
20240306,15:59:47.308,122.0,112.0,33.0,46.0,346.0,36.0
20240306,15:59:50.962,128.0,111.0,34.0,45.0,274.0,36.0
20240306,15:59:54.649,123.0,109.0,34.0,45.0,354.0,35.0
20240306,15:59:58.326,118.0,116.0,33.0,45.0,281.0,37.0
20240306,16:00:02.012,120.0,110.0,35.0,45.0,356.0,38.0
20240306,16:00:05.680,120.0,102.0,35.0,46.0,254.0,39.0
20240306,16:00:09.373,114.0,102.0,34.0,46.0,236.0,38.0
20240306,16:00:13.042,117.0,103.0,33.0,44.0,232.0,37.0
20240306,16:00:16.720,117.0,108.0,34.0,46.0,309.0,37.0
20240306,16:00:20.413,129.0,112.0,33.0,46.0,351.0,39.0
20240306,16:00:24.079,119.0,116.0,36.0,45.0,331.0,37.0
20240306,16:00:27.766,114.0,108.0,33.0,45.0,346.0,38.0
20240306,16:00:31.435,121.0,112.0,36.0,46.0,351.0,38.0
20240306,16:00:35.105,119.0,113.0,35.0,46.0,347.0,40.0
20240306,16:00:38.802,113.0,106.0,34.0,45.0,315.0,40.0
20240306,16:00:42.476,114.0,103.0,35.0,46.0,266.0,38.0
20240306,16:00:46.151,119.0,105.0,35.0,46.0,255.0,41.0
20240306,16:00:49.813,118.0,127.0,36.0,47.0,249.0,41.0
20240306,16:00:53.485,116.0,119.0,35.0,46.0,244.0,39.0
20240306,16:00:57.157,116.0,108.0,34.0,45.0,237.0,39.0
20240306,16:01:00.854,122.0,106.0,34.0,46.0,317.0,39.0
20240306,16:01:04.526,116.0,110.0,35.0,46.0,262.0,39.0
20240306,16:01:08.196,125.0,114.0,35.0,46.0,247.0,38.0
20240306,16:01:11.887,125.0,115.0,35.0,46.0,237.0,36.0
20240306,16:01:15.555,125.0,118.0,33.0,46.0,273.0,36.0
20240306,16:01:19.219,128.0,122.0,34.0,46.0,232.0,36.0
20240306,16:01:22.919,125.0,116.0,34.0,46.0,232.0,37.0
20240306,16:01:26.592,122.0,113.0,34.0,45.0,225.0,36.0
20240306,16:01:30.275,122.0,113.0,34.0,46.0,258.0,37.0
20240306,16:01:33.954,117.0,116.0,32.0,45.0,320.0,36.0
20240306,16:01:37.626,122.0,118.0,35.0,46.0,333.0,36.0
20240306,16:01:41.304,122.0,115.0,34.0,46.0,345.0,36.0
20240306,16:01:44.988,118.0,112.0,34.0,46.0,348.0,36.0
20240306,16:01:48.657,124.0,107.0,33.0,46.0,257.0,37.0
20240306,16:01:52.323,113.0,106.0,32.0,45.0,238.0,36.0
20240306,16:01:56.019,120.0,113.0,34.0,46.0,227.0,34.0
20240306,16:01:59.679,112.0,115.0,33.0,45.0,234.0,36.0
20240306,16:02:03.357,118.0,114.0,35.0,46.0,286.0,36.0
20240306,16:02:07.037,118.0,112.0,33.0,45.0,333.0,39.0
20240306,16:02:10.706,121.0,110.0,34.0,45.0,348.0,38.0
20240306,16:02:14.398,122.0,118.0,34.0,46.0,340.0,38.0
20240306,16:02:18.077,127.0,113.0,35.0,46.0,244.0,37.0
20240306,16:02:21.750,122.0,109.0,34.0,44.0,234.0,38.0
20240306,16:02:25.423,122.0,107.0,34.0,46.0,260.0,37.0
20240306,16:02:29.091,118.0,107.0,34.0,46.0,249.0,37.0
20240306,16:02:32.797,123.0,103.0,33.0,46.0,250.0,38.0
20240306,16:02:36.471,120.0,104.0,34.0,46.0,244.0,38.0
20240306,16:02:40.139,118.0,104.0,33.0,46.0,238.0,37.0
20240306,16:02:43.826,126.0,108.0,33.0,46.0,232.0,36.0
20240306,16:02:47.505,131.0,120.0,34.0,46.0,287.0,36.0
20240306,16:02:51.169,127.0,119.0,35.0,46.0,226.0,37.0
20240306,16:02:54.856,121.0,115.0,34.0,46.0,247.0,36.0
20240306,16:02:58.518,124.0,115.0,33.0,46.0,236.0,37.0
20240306,16:03:02.208,122.0,110.0,34.0,46.0,231.0,36.0
20240306,16:03:05.882,121.0,109.0,35.0,45.0,224.0,36.0
20240306,16:03:09.563,120.0,109.0,34.0,46.0,254.0,35.0
20240306,16:03:13.238,114.0,110.0,34.0,44.0,316.0,36.0
20240306,16:03:16.917,116.0,110.0,32.0,44.0,346.0,35.0
20240306,16:03:20.602,122.0,103.0,34.0,46.0,283.0,36.0
20240306,16:03:24.259,119.0,107.0,35.0,45.0,247.0,37.0
20240306,16:03:27.948,124.0,112.0,34.0,46.0,231.0,39.0
20240306,16:03:31.619,122.0,115.0,35.0,45.0,251.0,39.0
20240306,16:03:35.349,117.0,119.0,34.0,45.0,246.0,40.0
20240306,16:03:38.979,121.0,115.0,34.0,46.0,238.0,39.0
20240306,16:03:42.666,117.0,110.0,34.0,45.0,227.0,38.0
20240306,16:03:46.341,115.0,106.0,33.0,45.0,289.0,37.0
20240306,16:03:50.010,122.0,110.0,35.0,46.0,329.0,37.0
20240306,16:03:53.699,122.0,107.0,34.0,46.0,345.0,36.0
20240306,16:03:57.377,120.0,110.0,34.0,46.0,319.0,37.0
20240306,16:04:01.054,124.0,106.0,35.0,46.0,332.0,37.0
20240306,16:04:04.715,116.0,103.0,34.0,46.0,239.0,36.0
20240306,16:04:08.396,118.0,106.0,34.0,44.0,288.0,36.0
20240306,16:04:12.094,123.0,109.0,34.0,45.0,321.0,36.0
20240306,16:04:15.761,121.0,109.0,34.0,46.0,337.0,37.0
20240306,16:04:19.452,116.0,112.0,33.0,44.0,347.0,38.0
20240306,16:04:23.139,123.0,110.0,34.0,45.0,341.0,36.0
20240306,16:04:26.777,122.0,110.0,34.0,45.0,265.0,36.0
20240306,16:04:30.484,123.0,109.0,33.0,46.0,355.0,37.0
20240306,16:04:34.142,119.0,106.0,35.0,46.0,292.0,36.0
20240306,16:04:37.808,114.0,104.0,34.0,45.0,245.0,37.0
20240306,16:04:41.493,123.0,106.0,35.0,45.0,230.0,37.0
20240306,16:04:45.184,117.0,103.0,33.0,45.0,341.0,36.0
20240306,16:04:48.868,119.0,103.0,34.0,46.0,352.0,35.0
20240306,16:04:52.523,118.0,107.0,33.0,45.0,330.0,38.0
20240306,16:04:56.335,118.0,111.0,35.0,46.0,261.0,37.0
20240306,16:04:59.885,116.0,109.0,35.0,44.0,243.0,37.0
20240306,16:05:03.573,121.0,115.0,35.0,46.0,320.0,37.0
20240306,16:05:07.366,121.0,108.0,35.0,46.0,258.0,37.0
20240306,16:05:10.910,121.0,109.0,35.0,46.0,244.0,43.0
20240306,16:05:14.590,115.0,114.0,36.0,46.0,235.0,41.0
20240306,16:05:18.267,116.0,108.0,35.0,47.0,225.0,40.0
20240306,16:05:21.938,117.0,106.0,34.0,46.0,255.0,38.0
20240306,16:05:25.603,112.0,106.0,32.0,45.0,315.0,40.0
20240306,16:05:29.467,120.0,109.0,33.0,46.0,228.0,37.0
20240306,16:05:32.963,121.0,107.0,34.0,46.0,231.0,38.0
20240306,16:05:36.659,118.0,107.0,35.0,46.0,234.0,39.0
20240306,16:05:40.465,117.0,112.0,34.0,46.0,228.0,37.0
20240306,16:05:44.004,117.0,108.0,35.0,46.0,230.0,39.0
20240306,16:05:47.686,117.0,111.0,33.0,44.0,262.0,38.0
20240306,16:05:51.514,116.0,112.0,33.0,45.0,240.0,39.0
20240306,16:05:55.044,120.0,106.0,33.0,46.0,324.0,39.0
20240306,16:05:58.707,128.0,114.0,34.0,46.0,343.0,40.0
20240306,16:06:02.553,121.0,107.0,34.0,46.0,328.0,38.0
20240306,16:06:06.079,118.0,106.0,34.0,46.0,346.0,37.0
20240306,16:06:09.750,115.0,105.0,35.0,45.0,243.0,36.0
20240306,16:06:13.600,113.0,101.0,33.0,45.0,231.0,37.0
20240306,16:06:17.118,121.0,112.0,34.0,45.0,252.0,37.0
20240306,16:06:20.777,116.0,106.0,34.0,46.0,326.0,35.0
20240306,16:06:24.602,116.0,101.0,33.0,44.0,345.0,37.0
20240306,16:06:28.154,116.0,98.0,35.0,46.0,340.0,36.0
20240306,16:06:31.835,115.0,102.0,34.0,45.0,351.0,38.0
20240306,16:06:35.669,120.0,100.0,35.0,46.0,339.0,38.0
20240306,16:06:39.165,117.0,102.0,35.0,46.0,352.0,40.0
20240306,16:06:42.850,114.0,102.0,33.0,45.0,261.0,39.0
20240306,16:06:46.705,116.0,105.0,34.0,46.0,237.0,38.0
20240306,16:06:50.192,116.0,104.0,34.0,46.0,252.0,37.0
20240306,16:06:53.873,116.0,109.0,35.0,47.0,326.0,37.0
20240306,16:06:57.735,119.0,104.0,35.0,45.0,350.0,36.0
20240306,16:07:01.253,115.0,102.0,34.0,46.0,326.0,38.0
20240306,16:07:04.922,110.0,104.0,34.0,45.0,246.0,37.0
20240306,16:07:08.776,110.0,102.0,33.0,45.0,230.0,38.0
20240306,16:07:12.267,115.0,106.0,34.0,46.0,287.0,37.0
20240306,16:07:15.957,111.0,103.0,33.0,44.0,336.0,37.0
20240306,16:07:19.807,114.0,102.0,34.0,46.0,348.0,36.0
20240306,16:07:23.315,113.0,100.0,33.0,44.0,249.0,37.0
20240306,16:07:26.981,123.0,98.0,34.0,46.0,234.0,34.0
20240306,16:07:30.838,112.0,101.0,32.0,45.0,333.0,36.0
20240306,16:07:34.463,109.0,98.0,35.0,46.0,233.0,36.0
20240306,16:07:38.267,113.0,95.0,34.0,44.0,245.0,37.0
20240306,16:07:41.942,113.0,96.0,35.0,46.0,230.0,37.0
20240306,16:07:45.620,118.0,103.0,33.0,46.0,331.0,36.0
20240306,16:07:49.280,113.0,102.0,34.0,45.0,350.0,38.0
20240306,16:07:52.963,115.0,97.0,35.0,45.0,242.0,37.0
20240306,16:07:56.645,112.0,95.0,34.0,46.0,266.0,38.0
20240306,16:08:00.315,115.0,97.0,33.0,45.0,247.0,38.0
20240306,16:08:04.009,110.0,98.0,33.0,47.0,317.0,36.0
